it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12598815766974242,0.0,0.0,0.1543033499620919,0.0944911182523068,0.16035674514745463,0.10101525445522107,0.052414241836095915,0.0,0.0,0.0668153104781061,0.16718346377260587,0.07715167498104597,0.0,0.5640760748177662,0.0,0.0,0.22237479499833038,0.14285714285714285,0.07412493166611013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08164965809277261,0.0,0.0,0.0,0.1091089451179962,0.10206207261596577,0.08512565307587487,0.11785113019775793,0.0,0.0,0.0,0.0,0.0,0.0,0.11322770341445959,0.12309149097933275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0445435403187374,0.050507627227610534,0.0,0.07273929674533079,0.0,0.07559289460184544,0.0,0.0,0.08451542547285164,0.10101525445522107,0.0472455591261534,0.03940552031195503,0.0,0.0,0.05698028822981897,0.2519763153394848,0.2727723627949905,0.15724272550828775,0.0,0.0,0.1709408646894569,0.10350983390135313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12830005981991682,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.13900960937138318,0.0,0.0,0.20100756305184242,0.0,0.0,0.6471502289294341,0.0,0.0,0.0,0.06085806194501846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06324555320336758,0.0,0.0,0.0,0.08451542547285165,0.0,0.0,0.09128709291752768,0.11180339887498948,0.0,0.0,0.09128709291752768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1307440900921227,0.0,0.11322770341445959,0.10675210253672476,0.09805806756909201,0.22188007849009164,0.10482848367219183,0.0,0.0,0.0,0.06933752452815364,0.11566298639324807,0.0,0.0,0.25087260300212727,0.0,0.0,0.07692307692307693,0.7412493166611013,0.07692307692307693,0.0,0.10127393670836667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.07715167498104597,0.23570226039551587,0.0,0.30618621784789724,0.11547005383792516,0.1091089451179962,0.0,0.0,0.0,0.14433756729740646,0.06019292654288461,0.08333333333333334,0.0,0.08703882797784893,0.0,0.08333333333333334,0.16012815380508716,0.15430334996209194,0.5604485383178051,0.0,0.10540925533894598,0.2581988897471611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25819888974716115,0.06085806194501844,0.0,0.03162277660168379,0.0,0.0,0.0,0.1267731382092775,0.03952847075210474,0.0659380473395787,0.13693063937629152,0.0,0.0,0.15811388300841897,0.22821773229381923,0.08770580193070293,0.1690308509457033,0.043852900965351466,0.14301938838683884,0.4330127018922193,0.14142135623730948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06085806194501846,0.0,0.21081851067789195,0.0,0.18257418583505533,0.15491933384829668,0.0975900072948533,0.0,0.11547005383792514,0.06900655593423542,0.12909944487358055,0.1076763804116331,0.07453559924999299,0.0,0.1556997888323046,0.0,0.0,0.1432229748078866,0.13801311186847084,0.21483446221182986,0.1556997888323046,0.04714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07856742013183861,0.0,0.13608276348795434,0.0,0.2357022603955158,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.2357022603955158,0.0,0.0,0.0,0.0,0.0,0.2773500981126146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
