de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
21,0.1336306209562122,0.10206207261596577,0.15075567228888181,0.11785113019775793,0.0,0.22874785549890708,0.16012815380508713,0.1889822365046136,0.0,0.1336306209562122,0.0,0.15811388300841897,0.20851441405707477,0.16666666666666666,0.75,0.0,0.30151134457776363,0.2581988897471611,0.0,0.1091089451179962,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10425720702853739,0.0,0.17677669529663687,0.14433756729740646,0.12909944487358055,0.0,0.0,0.22360679774997896,0.0,0.0
22,0.0,0.20412414523193154,0.0,0.0,0.0,0.15249857033260472,0.24019223070763068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4743416490252569,0.0,0.0,0.1336306209562122,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.07624928516630236,0.0,0.0,0.11785113019775793,0.0,0.0,0.0,0.10425720702853739,0.0,0.0,0.4743416490252569,0.0,0.0,0.0,0.0,0.0,0.0,0.15075567228888181,0.2672612419124244,0.2672612419124244,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15075567228888181,0.35355339059327373,0.0,0.0,0.0,0.14433756729740646,0.0,0.0,0.0
24,0.10101525445522107,0.23145502494313785,0.11396057645963795,0.0890870806374748,0.0,0.2881952088521175,0.24209101306752093,0.4285714285714285,0.0,0.30304576336566325,0.0,0.11952286093343936,0.15762208124782012,0.1259881576697424,0.3779644730092272,0.0,0.6837634587578276,0.2927700218845599,0.0,0.4123930494211613,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09166984970282112,0.07881104062391006,0.0,0.13363062095621217,0.3273268353539886,0.0975900072948533,0.17342199390482396,0.0,0.16903085094570328,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.14824986333222026,0.056613851707229795,0.08362420100070908,0.1307440900921227,0.0,0.12688648033134411,0.08882311833686551,0.10482848367219183,0.06537204504606135,0.14824986333222026,0.0,0.17541160386140586,0.11566298639324807,0.09245003270420486,0.2773500981126146,0.0,0.3344968040028363,0.6445033866354896,0.07412493166611013,0.18156825980064073,0.16012815380508716,0.0,0.08362420100070908,0.0,0.0,0.06933752452815364,0.09805806756909201,0.0,0.10482848367219183,0.0,0.12403473458920847,0.16012815380508716,0.08770580193070293,0.13453455879926252,0.23132597278649614,0.08362420100070908,0.19611613513818402,0.08006407690254358,0.2864459496157732,0.06362847629757777,0.08006407690254358,0.24806946917841693,0.14824986333222026,0.0
27,0.08451542547285165,0.06454972243679029,0.0,0.07453559924999299,0.10540925533894598,0.09644856443408244,0.15191090506254998,0.0,0.223606797749979,0.0,0.15811388300841897,0.09999999999999998,0.0,0.10540925533894598,0.15811388300841897,0.19999999999999996,0.19069251784911848,0.0,0.50709255283711,0.0,0.0,0.11180339887498948,0.0,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.0,0.0,0.09128709291752768,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0816496580927726,0.0,0.18257418583505536,0.14142135623730948,0.1690308509457033,0.0
28,0.0,0.19364916731037085,0.09534625892455924,0.07453559924999299,0.0,0.09644856443408244,0.15191090506254998,0.23904572186687872,0.07453559924999299,0.1690308509457033,0.0,0.09999999999999998,0.0,0.0,0.0,0.09999999999999998,0.38138503569823695,0.0816496580927726,0.08451542547285165,0.41403933560541256,0.0,0.0,0.0,0.08451542547285165,0.0,0.0,0.0,0.0,0.11952286093343936,0.0,0.0,0.09128709291752768,0.0,0.07669649888473704,0.0659380473395787,0.09534625892455924,0.0,0.18257418583505536,0.0816496580927726,0.21764287503300347,0.0,0.07071067811865474,0.08451542547285165,0.0
29,0.15430334996209194,0.11785113019775793,0.17407765595569785,0.13608276348795434,0.0,0.2641352718976872,0.18490006540840973,0.2182178902359924,0.0,0.15430334996209194,0.0,0.18257418583505536,0.24077170617153845,0.19245008972987526,0.2886751345948129,0.0,0.17407765595569785,0.14907119849998599,0.0,0.12598815766974242,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12038585308576923,0.0,0.20412414523193148,0.16666666666666669,0.14907119849998599,0.0,0.0,0.2581988897471611,0.0,0.0
30,0.15430334996209194,0.11785113019775793,0.17407765595569785,0.13608276348795434,0.0,0.2641352718976872,0.18490006540840973,0.2182178902359924,0.0,0.15430334996209194,0.0,0.18257418583505536,0.24077170617153845,0.19245008972987526,0.2886751345948129,0.0,0.17407765595569785,0.14907119849998599,0.0,0.12598815766974242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12038585308576923,0.0,0.20412414523193148,0.16666666666666669,0.14907119849998599,0.0,0.0,0.2581988897471611,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.10050378152592121,0.08606629658238703,0.0,0.0,0.0,0.35355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.10166571355506981,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.06950480468569159,0.0,0.0,0.10540925533894598,0.0,0.0,0.0,0.0,0.0,0.0,0.40201512610368484,0.0,0.0,0.08333333333333333,0.0,0.0,0.1259881576697424,0.10540925533894598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07647191129018724,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18257418583505539,0.0,0.0,0.0816496580927726,0.0,0.0,0.0,0.1632993161855452,0.0778498944161523,0.0,0.0,0.0,0.0,0.0,0.0778498944161523,0.6900655593423543,0.2760262237369417,0.12909944487358055,0.0,0.0,0.0975900072948533,0.0816496580927726,0.0,0.0,0.0,0.0,0.0,0.0778498944161523,0.18257418583505533,0.0,0.0,0.05923488777590923,0.07453559924999299,0.0,0.06900655593423542,0.0
34,0.15430334996209194,0.0,0.0,0.13608276348795434,0.09622504486493763,0.0,0.0,0.0,0.13608276348795434,0.07715167498104597,0.0,0.0,0.06019292654288461,0.0,0.0,0.18257418583505536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3086066999241839,0.9258200997725515,0.2886751345948129,0.0,0.14433756729740646,0.1091089451179962,0.09128709291752768,0.12909944487358055,0.08333333333333334,0.09128709291752768,0.0700140042014005,0.12038585308576923,0.26111648393354675,0.20412414523193148,0.08333333333333334,0.0,0.0,0.25000000000000006,0.0,0.0,0.0
35,0.25197631533948484,0.0,0.0,0.22222222222222227,0.0,0.0,0.03774256780481986,0.0890870806374748,0.055555555555555566,0.12598815766974242,0.0,0.0,0.09829463743659811,0.07856742013183861,0.0,0.07453559924999299,0.07106690545187015,0.06085806194501846,0.06299407883487121,0.2057377999494559,0.0,0.08333333333333333,0.07106690545187015,0.12598815766974242,0.25197631533948484,0.5303300858899107,0.08333333333333333,0.23570226039551587,0.1781741612749496,0.14907119849998599,0.31622776601683794,0.20412414523193154,0.223606797749979,0.2858309752375147,0.24573659359149527,0.3553345272593508,0.08333333333333333,0.13608276348795434,0.0,0.10814761408717503,0.2721655269759087,0.0,0.06299407883487121,0.0
36,0.0,0.0,0.0,0.0,0.0,0.05083285677753491,0.053376051268362375,0.1259881576697424,0.0,0.0890870806374748,0.0,0.0,0.06950480468569159,0.0,0.0,0.0,0.0,0.0,0.0890870806374748,0.14547859349066158,0.0,0.0,0.10050378152592121,0.0890870806374748,0.0,0.16666666666666666,0.4714045207910316,0.0,0.0,0.0,0.29814239699997197,0.19245008972987526,0.10540925533894598,0.242535625036333,0.13900960937138318,0.30151134457776363,0.1178511301977579,0.09622504486493763,0.08606629658238703,0.22941573387056172,0.19245008972987526,0.07453559924999299,0.0890870806374748,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.07161148740394328,0.16903085094570328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.19518001458970666,0.0,0.0,0.13483997249264842,0.11952286093343936,0.0,0.11180339887498948,0.15811388300841897,0.0,0.0,0.0,0.19999999999999996,0.12909944487358055,0.14142135623730948,0.21693045781865616,0.09325048082403138,0.26967994498529685,0.0,0.0,0.0,0.2051956704170308,0.12909944487358055,0.0,0.11952286093343936,0.0
38,0.2182178902359924,0.0,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.09622504486493764,0.1091089451179962,0.0,0.25819888974716115,0.08512565307587487,0.0,0.0,0.0,0.12309149097933275,0.0,0.1091089451179962,0.0,0.0,0.0,0.12309149097933275,0.0,0.1091089451179962,0.3061862178478973,0.0,0.20412414523193154,0.7715167498104595,0.3872983346207417,0.18257418583505536,0.11785113019775793,0.12909944487358058,0.09901475429766744,0.17025130615174974,0.2461829819586655,0.0,0.11785113019775793,0.10540925533894598,0.0936585811581694,0.11785113019775793,0.09128709291752768,0.1091089451179962,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11396057645963795,0.0,0.0,0.0944911182523068,0.0,0.0,0.2857142857142857,0.7171371656006361,0.0,0.0,0.0,0.0,0.0,0.11396057645963795,0.0,0.0,0.0,0.08671099695241198,0.0,0.0,0.0,0.0
40,0.2182178902359924,0.0,0.0,0.1924500897298753,0.0,0.0,0.06537204504606135,0.1543033499620919,0.0,0.1091089451179962,0.0,0.0,0.08512565307587487,0.0,0.0,0.0,0.0,0.0,0.1091089451179962,0.17817416127494962,0.0,0.0,0.12309149097933275,0.1091089451179962,0.1091089451179962,0.3061862178478973,0.14433756729740646,0.20412414523193154,0.1543033499620919,0.12909944487358058,0.5477225575051661,0.23570226039551587,0.25819888974716115,0.39605901719066977,0.3405026123034995,0.36927447293799825,0.0,0.11785113019775793,0.0,0.1873171623163388,0.23570226039551587,0.0,0.1091089451179962,0.0
41,0.23145502494313788,0.11785113019775793,0.0,0.13608276348795434,0.09622504486493763,0.044022545316281206,0.09245003270420486,0.1091089451179962,0.13608276348795434,0.15430334996209194,0.14433756729740646,0.0,0.06019292654288461,0.09622504486493763,0.14433756729740646,0.09128709291752768,0.08703882797784893,0.07453559924999299,0.15430334996209194,0.18898223650461363,0.0,0.10206207261596574,0.17407765595569785,0.07715167498104597,0.07715167498104597,0.2886751345948129,0.30618621784789724,0.14433756729740646,0.1091089451179962,0.09128709291752768,0.3872983346207417,1.0,0.45643546458763845,0.280056016805602,0.3611575592573077,0.4351941398892446,0.20412414523193148,0.16666666666666669,0.14907119849998599,0.26490647141300877,0.33333333333333337,0.19364916731037085,0.15430334996209194,0.0
42,0.22237479499833038,0.056613851707229795,0.0,0.19611613513818407,0.09245003270420486,0.04229549344378137,0.08882311833686551,0.10482848367219183,0.19611613513818407,0.14824986333222026,0.1386750490563073,0.08770580193070293,0.057831493196624034,0.09245003270420486,0.1386750490563073,0.08770580193070293,0.08362420100070908,0.1432229748078866,0.14824986333222026,0.12104550653376049,0.0,0.09805806756909201,0.3344968040028363,0.07412493166611013,0.07412493166611013,0.2773500981126146,0.09805806756909201,0.1386750490563073,0.20965696734438366,0.17541160386140586,0.24806946917841693,0.3202563076101743,0.6139406135149205,0.20180183819889375,0.23132597278649614,0.25087260300212727,0.0,0.08006407690254358,0.0716114874039433,0.19088542889273333,0.3202563076101743,0.12403473458920847,0.22237479499833038,0.0
